site,mse,rmse,r2_score,relative_error,mae
FR-LBr,0.00029737025,0.017244427,0.7700023651123047,0.019764818,0.010880469
FR-LGt,0.0003726284,0.019303584,0.4889607429504394,0.022138022,0.011808383
FR-Lam,0.00085061335,0.029165277,0.4818902611732483,0.026325315,0.014942549
FR-Mej,0.0007627857,0.027618576,0.5808764696121216,0.026715796,0.015260996
FR-Pue,0.00023633699,0.015373255,0.5625762343406677,0.016220525,0.008592042
FR-Tou,0.00024148257,0.0155397095,0.6577622890472412,0.01796387,0.009718323
GF-Guy,0.0007846651,0.028011875,0.7877930402755737,0.031638626,0.017785218
GH-Ank,0.001021692,0.031963915,0.6727766394615173,0.033279207,0.018785292
GL-NuF,3.897968e-05,0.006243371,0.6689985990524292,0.007107047,0.0036750538
GL-ZaF,4.315768e-05,0.0065694507,0.7053764462471008,0.007416818,0.0038755045
GL-ZaH,2.5314155e-05,0.0050313175,-0.5697017908096313,0.006212191,0.003155806
IL-Yat,0.00012270296,0.011077137,0.4727572798728943,0.0116403,0.0061242483
IT-BCi,0.0018578252,0.043102495,0.253921627998352,0.03649752,0.02178282
IT-BFt,0.00091929815,0.03031993,0.6612501740455627,0.03395114,0.01945275
IT-CA1,0.0002525155,0.015890736,0.6956644654273987,0.01633826,0.008968881
IT-CA2,0.0004343143,0.020840209,0.5016388297080994,0.023186285,0.012404874
IT-CA3,0.00044719968,0.021147097,0.6094756126403809,0.018605916,0.010542539
IT-Col,0.000234737,0.015321129,0.8539115190505981,0.015929626,0.008723148
IT-Cp2,0.00054104545,0.023260383,0.6313406229019165,0.027227128,0.0149034
IT-Cpz,0.00030353674,0.017422305,0.7514986395835876,0.020152368,0.011022847
IT-Isp,0.00073052855,0.027028292,0.699899435043335,0.027041977,0.015787916
IT-La2,0.00045032066,0.02122076,0.7601746320724487,0.023102371,0.01279814
IT-Lav,0.00036726196,0.01916408,0.8290583491325378,0.019342978,0.01100784
IT-Lsn,9.5850875e-05,0.009790346,0.8709044456481934,0.0103295855,0.005575456
IT-MBo,0.00017259108,0.013137393,0.88050776720047,0.013377345,0.0073824036
IT-Noe,0.00038665766,0.019663613,0.2131903767585754,0.022136431,0.011664594
IT-PT1,0.00047398772,0.02177126,0.745779275894165,0.021436661,0.012274456
